age,income,expenses,savings,debt,credit_score,impulse_purchases,num_bank_accounts,financial_goal,time_horizon_months,budget_score,investment_score,loan_knowledge_score,risk_score,literacy_level,recommended_monthly,save_rate,debt_to_income,expense_ratio
44,38843,32739,9423,22945,759,1,3,Debt Repayment,12,56,34,46,42,1,500,0.243,0.591,0.843
34,72881,57658,13151,17383,748,4,1,Short Term Savings,12,95,16,58,36,1,2834,0.18,0.239,0.791
48,13044,9593,623,4313,726,0,1,Emergency Fund,6,80,63,26,56,1,5501,0.048,0.331,0.735
51,53560,35665,7056,17145,869,1,1,Debt Repayment,12,42,59,56,49,1,500,0.132,0.32,0.666
41,53364,34574,11090,29968,666,0,1,Short Term Savings,36,36,78,59,38,1,1051,0.208,0.562,0.648
52,63040,56612,9561,13297,784,0,1,Emergency Fund,36,61,63,50,21,1,4852,0.152,0.211,0.898
23,41241,19251,2082,24404,649,1,1,Debt Repayment,6,70,41,14,40,1,1445,0.05,0.592,0.467
36,57830,44402,3442,10572,698,2,1,Investing,12,52,82,28,22,1,15119,0.06,0.183,0.768
47,35017,22720,7660,2288,715,4,1,Investing,6,45,77,18,36,1,27477,0.219,0.065,0.649
24,23972,21227,3385,2752,504,3,1,Investing,36,79,48,48,66,1,5313,0.141,0.115,0.885
27,21055,16774,3839,5384,640,3,1,Debt Repayment,12,67,54,25,20,1,500,0.182,0.256,0.797
49,11171,10044,1181,4355,632,0,1,Debt Repayment,36,58,4,19,41,0,500,0.106,0.39,0.899
51,31172,20355,4441,9666,648,2,1,Emergency Fund,12,45,52,20,48,0,6851,0.142,0.31,0.653
45,46229,19542,11313,10436,592,3,2,Short Term Savings,12,58,47,27,43,1,2975,0.245,0.226,0.423
32,35837,21581,3434,12084,663,2,1,Investing,36,44,43,100,34,1,5312,0.096,0.337,0.602
47,43959,31943,7701,22123,678,3,1,Short Term Savings,12,78,56,60,57,1,3253,0.175,0.503,0.727
54,64697,49468,3860,32565,569,2,1,Debt Repayment,12,74,21,51,70,1,955,0.06,0.503,0.765
46,29650,8904,1423,12919,653,3,2,Short Term Savings,12,41,100,56,100,1,3736,0.048,0.436,0.3
39,86805,52344,17381,49606,630,2,1,Debt Repayment,60,41,63,0,68,0,500,0.2,0.571,0.603
21,55104,24308,11800,19513,746,0,2,Investing,36,86,62,70,12,2,5086,0.214,0.354,0.441
37,36061,29748,6264,165,696,0,3,Emergency Fund,60,76,62,68,66,1,1670,0.174,0.005,0.825
49,35607,13948,2007,6215,588,0,1,Investing,36,73,69,60,26,1,5351,0.056,0.175,0.392
53,19837,13883,1494,3906,728,4,1,Debt Repayment,60,82,48,65,53,1,500,0.075,0.197,0.7
21,39485,18148,9064,12966,645,5,2,Investing,36,40,30,51,45,1,5160,0.23,0.328,0.46
44,5000,2569,432,2714,655,3,2,Debt Repayment,12,55,6,46,39,0,500,0.086,0.543,0.514
34,65115,56281,13565,32744,576,2,2,Short Term Savings,60,97,71,51,72,2,597,0.208,0.503,0.864
29,5000,2221,428,696,666,1,1,Emergency Fund,36,90,59,0,32,1,500,0.086,0.139,0.444
39,40835,14578,9640,12725,725,4,1,Investing,12,71,14,97,92,1,14643,0.236,0.312,0.357
34,17120,5847,3943,6770,630,3,2,Short Term Savings,6,64,12,7,34,0,6579,0.23,0.395,0.342
27,25976,15657,777,15390,776,0,1,Debt Repayment,12,71,0,78,76,1,532,0.03,0.592,0.603
18,28556,19561,5631,536,722,1,1,Emergency Fund,36,58,37,71,60,1,2163,0.197,0.019,0.685
39,78512,38971,4630,21851,583,2,2,Investing,12,46,73,54,77,1,15028,0.059,0.278,0.496
43,17934,12807,1246,10632,670,2,3,Emergency Fund,36,43,8,0,46,0,1420,0.069,0.593,0.714
35,58285,19619,7330,34173,539,1,2,Short Term Savings,6,100,47,56,70,1,6095,0.126,0.586,0.337
31,63208,51476,9642,12542,572,2,3,Emergency Fund,60,48,7,92,65,1,2950,0.153,0.198,0.814
46,5000,3949,474,0,510,5,1,Emergency Fund,12,80,8,52,30,1,1117,0.095,0.0,0.79
29,27692,24681,4218,9748,521,1,2,Investing,36,16,27,41,27,0,5291,0.152,0.352,0.891
53,69689,60065,4129,36249,626,3,2,Short Term Savings,60,49,90,45,63,1,751,0.059,0.52,0.862
52,13704,7039,344,2666,634,1,1,Emergency Fund,12,57,24,56,60,1,3136,0.025,0.195,0.514
29,63965,34513,9683,35856,668,0,1,Short Term Savings,36,49,9,0,34,0,1089,0.151,0.561,0.54
24,39642,29635,5510,7913,578,1,1,Debt Repayment,6,44,31,64,64,1,500,0.139,0.2,0.748
46,38778,14753,6926,14197,716,1,1,Emergency Fund,6,78,31,25,32,1,15629,0.179,0.366,0.38
28,41389,20214,7013,17930,632,5,1,Short Term Savings,6,66,38,59,65,1,6141,0.169,0.433,0.488
50,46851,17387,10608,9709,674,2,3,Investing,60,49,28,95,33,1,3104,0.226,0.207,0.371
23,20887,11966,2625,4413,392,0,2,Debt Repayment,6,47,30,35,31,0,500,0.126,0.211,0.573
32,34791,21960,762,9810,650,2,1,Emergency Fund,36,32,55,23,47,0,2800,0.022,0.282,0.631
49,47411,20230,7825,23759,712,1,3,Debt Repayment,6,37,44,51,44,1,579,0.165,0.501,0.427
28,43537,13756,7631,2634,467,4,1,Short Term Savings,36,38,19,92,36,1,1145,0.175,0.06,0.316
40,46984,34374,6575,17801,652,1,1,Emergency Fund,12,51,59,56,65,1,10336,0.14,0.379,0.732
43,25626,7995,4575,10414,586,1,3,Emergency Fund,12,100,100,77,69,2,5561,0.179,0.406,0.312
51,52645,46540,4970,17621,773,0,3,Investing,36,49,55,65,27,1,5271,0.094,0.335,0.884
51,42529,18413,2306,23880,547,2,2,Investing,12,51,74,79,33,1,15207,0.054,0.561,0.433
46,8385,5855,1449,3028,822,2,2,Short Term Savings,6,48,31,34,88,0,6935,0.173,0.361,0.698
21,29372,16473,2243,11183,753,4,1,Emergency Fund,36,69,47,87,39,1,2320,0.076,0.381,0.561
34,22089,7417,2760,7948,659,0,1,Debt Repayment,12,34,17,65,75,0,500,0.125,0.36,0.336
52,21832,12734,2905,9457,535,4,3,Investing,12,39,0,15,31,0,15161,0.133,0.433,0.583
30,30470,18588,3953,2475,613,6,1,Investing,6,81,26,45,30,1,28006,0.13,0.081,0.61
32,52269,42484,8239,28045,704,2,1,Debt Repayment,36,65,34,54,32,1,500,0.158,0.537,0.813
46,27464,20307,735,700,658,3,2,Short Term Savings,36,63,16,52,36,1,1331,0.027,0.025,0.739
46,44501,15467,11019,17108,562,1,2,Short Term Savings,36,77,39,48,68,1,1053,0.248,0.384,0.348
28,41223,17540,7616,15223,738,1,1,Emergency Fund,12,60,14,56,31,1,8927,0.185,0.369,0.425
49,24418,11894,2877,3049,642,2,1,Investing,60,36,92,56,45,1,3231,0.118,0.125,0.487
19,33103,12242,2118,808,672,2,1,Emergency Fund,12,69,13,36,22,0,7476,0.064,0.024,0.37
31,57296,32895,2202,4772,729,1,1,Short Term Savings,36,71,23,60,43,1,1291,0.038,0.083,0.574
37,42996,38291,7507,7008,720,2,2,Emergency Fund,12,29,29,69,22,1,9344,0.175,0.163,0.891
39,50976,31032,4735,26979,736,1,1,Debt Repayment,60,66,68,94,38,2,500,0.093,0.529,0.609
28,65449,48767,4763,33604,705,1,2,Investing,12,73,62,100,28,2,15018,0.073,0.513,0.745
44,48698,34564,5229,1865,596,5,1,Emergency Fund,36,73,45,41,55,1,3807,0.107,0.038,0.71
20,5000,4049,781,867,646,1,1,Investing,60,76,28,38,42,1,3265,0.156,0.173,0.81
34,45411,19501,7923,24230,757,2,1,Emergency Fund,6,68,0,41,55,0,18330,0.174,0.534,0.429
45,27637,20791,4653,3924,542,0,1,Emergency Fund,60,79,23,20,89,1,1282,0.168,0.142,0.752
46,76206,63160,16654,45539,559,2,2,Emergency Fund,12,40,45,54,41,1,16304,0.219,0.598,0.829
38,47985,19333,3374,7394,693,2,1,Short Term Savings,36,90,34,100,44,2,1260,0.07,0.154,0.403
33,28051,14252,4669,12439,642,4,1,Emergency Fund,36,22,72,28,58,1,2148,0.166,0.443,0.508
54,51330,45276,2220,12844,515,2,1,Debt Repayment,36,77,56,34,81,1,500,0.043,0.25,0.882
37,41815,32133,6106,3418,705,1,2,Short Term Savings,36,40,27,8,46,0,1186,0.146,0.082,0.768
23,5640,2648,870,863,686,4,1,Emergency Fund,60,84,61,73,0,2,500,0.154,0.153,0.469
36,57261,36553,3993,23194,860,1,1,Short Term Savings,12,74,7,54,19,1,3539,0.07,0.405,0.638
22,31889,17302,3510,6449,665,5,1,Investing,6,48,51,29,0,1,28070,0.11,0.202,0.543
20,68412,40635,14383,24797,819,2,1,Debt Repayment,6,54,69,23,63,1,500,0.21,0.362,0.594
18,37511,19246,2030,4625,728,0,1,Emergency Fund,36,51,59,35,25,1,2986,0.054,0.123,0.513
55,68785,32163,8249,18513,499,0,1,Investing,12,74,30,67,28,1,14750,0.12,0.269,0.468
32,48497,34183,11373,14905,652,1,1,Investing,6,31,64,58,21,1,26946,0.235,0.307,0.705
51,59482,45630,8086,14731,644,4,2,Debt Repayment,12,55,1,28,58,0,500,0.136,0.248,0.767
52,30163,24865,5633,3581,642,2,3,Debt Repayment,60,69,16,34,49,0,500,0.187,0.119,0.824
42,47060,18503,9891,13032,580,1,1,Debt Repayment,36,21,21,73,18,0,500,0.21,0.277,0.393
41,5475,4345,366,2276,714,0,2,Debt Repayment,60,34,0,2,45,0,500,0.067,0.416,0.793
29,37459,16964,2629,21686,622,2,1,Debt Repayment,6,84,71,22,22,1,1173,0.07,0.579,0.453
35,10309,5735,2004,4883,744,2,1,Investing,60,22,81,53,65,1,3245,0.194,0.474,0.556
32,17140,14412,3312,1660,732,2,1,Emergency Fund,36,40,39,52,58,1,1300,0.193,0.097,0.841
33,22183,12704,750,3629,630,1,2,Emergency Fund,36,92,75,66,64,2,1778,0.034,0.164,0.573
44,53208,22253,5010,2516,601,2,1,Short Term Savings,6,67,19,70,46,1,6427,0.094,0.047,0.418
25,37052,14669,4137,3015,605,3,2,Investing,12,85,33,66,44,1,15066,0.112,0.081,0.396
42,40628,23718,8559,6110,652,3,2,Debt Repayment,12,44,35,2,68,0,500,0.211,0.15,0.584
34,36508,27658,4272,4370,675,3,1,Debt Repayment,6,31,16,70,39,0,500,0.117,0.12,0.758
46,61614,55349,14353,7898,614,1,2,Investing,12,61,57,60,56,1,14280,0.233,0.128,0.898
25,40080,30959,9988,5549,616,3,1,Debt Repayment,60,68,42,50,55,1,500,0.249,0.138,0.772
32,44976,37159,8975,8113,672,0,2,Short Term Savings,6,26,32,74,51,1,5860,0.2,0.18,0.826
44,28594,21408,4954,2154,732,0,1,Debt Repayment,36,60,47,81,31,1,500,0.173,0.075,0.749
24,62988,52737,6937,10500,669,3,1,Debt Repayment,36,43,67,33,0,1,500,0.11,0.167,0.837
20,64487,22298,2284,26636,647,1,2,Short Term Savings,60,61,35,4,100,0,782,0.035,0.413,0.346
46,39262,33685,5960,5568,668,2,2,Emergency Fund,36,80,100,38,58,2,3022,0.152,0.142,0.858
41,28314,15228,2921,2919,506,3,1,Investing,6,54,62,21,43,1,28154,0.103,0.103,0.538
20,7680,6550,773,311,631,1,1,Emergency Fund,36,83,52,45,45,1,601,0.101,0.04,0.853
37,22628,7816,4031,6788,549,3,1,Short Term Savings,36,55,46,65,24,1,1242,0.178,0.3,0.345
32,5000,3645,633,2525,606,1,3,Investing,36,78,91,33,13,1,5388,0.127,0.505,0.729
42,21787,16153,4204,771,576,3,1,Short Term Savings,12,77,53,29,64,1,3522,0.193,0.035,0.741
47,47139,42337,5259,15338,575,3,1,Debt Repayment,12,72,42,0,73,0,500,0.112,0.325,0.898
31,38992,29685,2132,15221,571,2,2,Emergency Fund,60,64,22,61,27,1,1882,0.055,0.39,0.761
24,86465,45787,10904,30736,836,1,1,Debt Repayment,60,95,53,69,65,2,500,0.126,0.355,0.53
34,32578,20665,7777,17154,645,2,2,Debt Repayment,12,64,59,27,72,1,500,0.239,0.527,0.634
37,31017,16126,6338,16123,746,3,1,Short Term Savings,6,74,87,24,52,1,6237,0.204,0.52,0.52
53,61255,25580,4123,2106,710,1,1,Short Term Savings,36,30,39,46,5,0,1239,0.067,0.034,0.418
26,5000,2245,549,1082,705,1,2,Emergency Fund,36,74,50,7,27,1,500,0.11,0.216,0.449
55,10364,4489,2418,4171,693,3,1,Debt Repayment,36,80,37,76,40,1,500,0.233,0.402,0.433
39,53276,33526,2581,30445,816,5,2,Debt Repayment,60,52,59,29,31,1,500,0.048,0.571,0.629
19,36091,30449,2829,17425,684,0,1,Emergency Fund,60,85,60,70,71,2,1728,0.078,0.483,0.844
41,36550,30981,2935,3872,507,2,1,Short Term Savings,60,40,31,47,85,0,771,0.08,0.106,0.848
25,21256,7075,3216,3560,636,3,2,Emergency Fund,12,40,46,5,73,0,4657,0.151,0.167,0.333
28,44795,15585,5127,20523,566,2,2,Emergency Fund,60,67,47,26,86,1,2118,0.114,0.458,0.348
30,23839,10657,914,6743,537,3,1,Investing,60,66,53,0,30,0,3263,0.038,0.283,0.447
34,41454,18780,6827,13612,684,3,1,Investing,6,49,71,52,70,1,27596,0.165,0.328,0.453
25,16830,6007,720,6149,484,2,1,Investing,12,35,82,30,67,1,15329,0.043,0.365,0.357
38,36352,19378,5797,2252,658,1,1,Debt Repayment,12,83,9,41,46,1,500,0.159,0.062,0.533
35,80497,52535,10996,41341,518,1,1,Debt Repayment,60,28,68,83,83,1,500,0.137,0.514,0.653
47,31501,20377,4206,16313,635,2,1,Investing,6,68,21,72,19,1,27970,0.134,0.518,0.647
35,37364,23392,1327,10497,712,3,1,Short Term Savings,36,43,59,40,12,1,1315,0.036,0.281,0.626
48,35949,18089,6004,13520,597,5,1,Emergency Fund,36,65,52,47,2,1,2752,0.167,0.376,0.503
55,43490,31481,5184,17219,555,1,1,Debt Repayment,60,57,29,29,39,0,500,0.119,0.396,0.724
49,49363,39287,5654,5619,622,1,1,Investing,12,92,83,66,65,2,14949,0.115,0.114,0.796
28,45144,22922,7095,3049,699,1,2,Investing,6,87,33,100,31,2,27557,0.157,0.068,0.508
42,45586,16015,7268,565,674,2,1,Investing,60,56,69,28,31,1,3159,0.159,0.012,0.351
50,36383,17383,853,19928,644,1,1,Emergency Fund,36,83,45,58,40,1,2926,0.023,0.548,0.478
55,42005,16063,2049,8713,583,1,2,Short Term Savings,36,22,4,29,12,0,1295,0.049,0.207,0.382
25,35720,20732,2657,1839,617,6,3,Debt Repayment,36,57,41,72,45,1,500,0.074,0.051,0.58
28,5000,1967,879,1397,705,1,1,Emergency Fund,60,54,61,65,100,1,500,0.176,0.279,0.393
39,92612,53502,14137,4202,639,3,2,Short Term Savings,36,19,37,62,19,0,969,0.153,0.045,0.578
41,54563,23604,10599,2790,669,0,1,Emergency Fund,12,51,21,11,62,0,11776,0.194,0.051,0.433
34,20413,15171,3885,5987,621,3,1,Investing,60,83,60,0,63,1,3215,0.19,0.293,0.743
29,44601,14118,9644,13616,559,0,1,Emergency Fund,6,63,38,60,44,1,17737,0.216,0.305,0.317
49,13077,8275,1394,4551,810,0,2,Short Term Savings,12,70,42,15,57,1,3738,0.107,0.348,0.633
32,30115,12096,2992,11858,712,1,2,Short Term Savings,36,38,12,44,58,0,1270,0.099,0.394,0.402
33,10360,3114,2187,4153,672,2,1,Short Term Savings,6,42,81,38,40,1,6830,0.211,0.401,0.301
39,38976,32019,2909,10125,636,3,1,Emergency Fund,6,57,84,75,49,2,16288,0.075,0.26,0.821
45,8372,5884,1055,3232,763,1,1,Debt Repayment,6,66,34,70,76,1,500,0.126,0.386,0.703
37,47768,17166,3090,8734,586,1,3,Debt Repayment,60,72,27,39,65,1,500,0.065,0.183,0.359
50,53644,37467,12347,14204,703,5,2,Short Term Savings,36,60,100,58,28,2,1017,0.23,0.265,0.698
27,23460,15647,2669,5536,653,4,1,Emergency Fund,6,48,51,58,58,1,9673,0.114,0.236,0.667
49,43217,25239,2976,8533,628,0,1,Short Term Savings,36,49,24,71,30,1,1270,0.069,0.197,0.584
50,22400,12354,4013,3206,627,2,1,Short Term Savings,12,46,51,0,37,0,3537,0.179,0.143,0.551
19,50234,41806,3831,2364,754,5,1,Debt Repayment,6,45,45,28,100,0,500,0.076,0.047,0.832
50,26227,11725,6215,7961,500,2,3,Short Term Savings,36,42,74,72,88,1,1183,0.237,0.304,0.447
50,55779,30064,5831,17981,783,2,3,Emergency Fund,12,70,100,15,76,1,12423,0.105,0.322,0.539
30,5000,2487,864,1008,731,2,1,Short Term Savings,36,61,44,18,28,1,1328,0.173,0.202,0.497
47,19900,15178,1978,11651,652,4,1,Debt Repayment,60,70,62,45,53,1,500,0.099,0.585,0.763
50,17823,15147,3665,5956,631,3,1,Investing,36,54,33,35,39,1,5306,0.206,0.334,0.85
30,44067,35688,9972,23505,649,5,1,Short Term Savings,36,58,13,61,79,1,1081,0.226,0.533,0.81
43,51101,39788,10282,17479,688,4,3,Short Term Savings,36,23,46,80,48,1,1073,0.201,0.342,0.779
39,45612,40689,9813,5197,748,3,2,Emergency Fund,36,75,0,0,49,0,3433,0.215,0.114,0.892
19,29820,21419,1295,17437,688,3,2,Short Term Savings,12,67,100,51,92,2,3746,0.043,0.585,0.718
55,5000,3753,1162,2656,672,4,3,Debt Repayment,6,62,71,45,42,1,500,0.232,0.531,0.75
43,40774,36275,6670,11529,652,2,2,Emergency Fund,36,78,52,18,1,1,3125,0.164,0.283,0.89
32,55760,16961,12262,8131,502,1,1,Investing,36,94,0,0,60,0,5074,0.22,0.146,0.304
51,93610,63694,16608,12506,517,0,2,Investing,12,44,47,27,67,0,14107,0.177,0.134,0.68
28,31512,23425,2093,15239,738,2,1,Debt Repayment,6,88,9,8,69,0,789,0.066,0.484,0.743
20,26693,22707,4276,1106,687,3,1,Debt Repayment,36,85,64,55,59,1,500,0.16,0.041,0.851
23,46405,38530,1898,17765,716,1,2,Emergency Fund,36,51,75,31,81,1,3711,0.041,0.383,0.83
26,34876,28081,6278,13395,714,0,1,Short Term Savings,36,38,46,30,69,0,1181,0.18,0.384,0.805
23,65507,56825,7472,7171,699,3,1,Emergency Fund,36,65,4,66,63,1,5109,0.114,0.109,0.867
26,23836,14836,1308,10081,719,3,3,Investing,12,82,6,98,39,1,15284,0.055,0.423,0.622
48,35023,10652,8588,14823,581,2,1,Short Term Savings,12,34,3,42,0,0,3185,0.245,0.423,0.304
49,57524,17638,13072,12081,695,2,2,Emergency Fund,6,35,25,63,43,1,22785,0.227,0.21,0.307
29,46167,28936,10411,13389,686,0,2,Emergency Fund,12,71,15,73,100,1,9853,0.226,0.29,0.627
25,63224,35478,12735,31590,755,1,1,Debt Repayment,36,62,29,16,44,0,500,0.201,0.5,0.561
25,31268,17846,5601,9814,360,2,1,Short Term Savings,36,77,81,10,59,1,1199,0.179,0.314,0.571
45,65265,35258,11138,24206,841,0,1,Short Term Savings,60,65,29,43,32,1,637,0.171,0.371,0.54
37,6723,5718,298,1665,717,3,2,Emergency Fund,6,67,28,61,71,1,2838,0.044,0.248,0.85
24,7523,3878,1708,675,670,1,2,Debt Repayment,6,63,47,30,48,1,500,0.227,0.09,0.515
28,65580,53364,14602,39271,573,0,1,Short Term Savings,36,60,61,5,68,1,956,0.223,0.599,0.814
37,40146,33791,7708,12803,626,4,3,Emergency Fund,36,73,72,85,64,2,3046,0.192,0.319,0.842
33,58416,35032,13627,11792,677,1,1,Emergency Fund,36,32,91,67,43,1,4368,0.233,0.202,0.6
21,41989,23856,6181,17982,783,2,2,Debt Repayment,12,59,27,42,64,1,500,0.147,0.428,0.568
23,39859,30157,4900,14847,772,1,1,Emergency Fund,12,51,40,24,71,0,8821,0.123,0.372,0.757
39,13439,9740,3260,1878,699,1,1,Short Term Savings,36,50,0,13,0,0,1263,0.243,0.14,0.725
43,39463,19617,5001,20763,708,3,2,Investing,12,72,15,26,48,0,14999,0.127,0.526,0.497
20,67232,24306,11261,2860,665,4,1,Short Term Savings,12,76,38,92,78,1,2979,0.167,0.043,0.362
31,41133,18876,4352,14948,568,4,1,Emergency Fund,12,75,26,41,47,1,9157,0.106,0.363,0.459
28,53641,20309,8923,15380,587,5,1,Short Term Savings,12,76,23,55,100,1,3159,0.166,0.287,0.379
35,53087,25313,9854,10135,727,2,2,Investing,6,65,20,100,30,1,27163,0.186,0.191,0.477
29,19745,9025,3231,9790,706,4,1,Investing,36,31,66,96,65,1,5318,0.164,0.496,0.457
40,57142,39006,7905,22500,600,1,1,Emergency Fund,36,55,9,53,48,0,4419,0.138,0.394,0.683
29,33725,29431,3002,15368,589,1,1,Short Term Savings,36,68,82,94,8,2,1270,0.089,0.456,0.873
30,34806,24762,5850,8659,701,3,1,Debt Repayment,6,62,17,61,65,1,500,0.168,0.249,0.711
42,81953,70150,18762,46339,625,2,1,Investing,60,77,83,98,60,2,2971,0.229,0.565,0.856
36,51946,40023,1121,10744,586,2,1,Emergency Fund,12,66,10,50,46,1,11901,0.022,0.207,0.77
53,27229,20060,1383,8675,677,1,3,Investing,60,61,12,68,79,1,3256,0.051,0.319,0.737
25,41290,22644,1963,23130,704,2,2,Investing,12,44,50,64,13,1,15233,0.048,0.56,0.548
46,40732,20157,9463,2033,561,3,1,Emergency Fund,6,53,44,29,35,1,16104,0.232,0.05,0.495
49,73721,59549,12711,4812,622,0,1,Short Term Savings,36,80,64,68,37,2,1007,0.172,0.065,0.808
35,40789,34394,9744,24331,708,2,2,Debt Repayment,36,53,20,23,48,0,500,0.239,0.596,0.843
23,84159,48065,12964,49050,775,0,1,Emergency Fund,60,76,35,36,76,1,3926,0.154,0.583,0.571
35,14065,4295,1774,6512,673,3,1,Short Term Savings,36,24,43,70,56,1,1303,0.126,0.463,0.305
36,39352,30518,7958,11432,609,2,2,Debt Repayment,60,43,58,59,87,1,500,0.202,0.29,0.775
39,24742,11654,1410,7512,583,4,1,Emergency Fund,60,27,56,50,14,1,1193,0.057,0.304,0.471
54,30103,9209,3242,4645,649,2,1,Emergency Fund,12,14,64,57,22,1,6697,0.108,0.154,0.306
49,30537,23910,3885,7928,646,2,1,Debt Repayment,60,23,76,48,4,1,500,0.127,0.26,0.783
20,25773,15733,2284,6670,477,4,1,Emergency Fund,36,56,41,76,75,1,2027,0.089,0.259,0.61
45,74603,53052,7862,1615,514,1,1,Short Term Savings,6,89,81,100,0,2,6019,0.105,0.022,0.711
27,68451,58102,2598,18611,467,1,1,Short Term Savings,12,27,41,85,16,1,3646,0.038,0.272,0.849
52,48052,30018,3149,13833,651,2,2,Investing,6,60,48,41,46,1,28121,0.066,0.288,0.625
46,30512,18365,2964,12188,734,3,2,Emergency Fund,36,55,54,62,0,1,2393,0.097,0.399,0.602
32,26335,12493,5347,8160,722,4,1,Investing,12,60,46,30,53,1,14973,0.203,0.31,0.474
50,54836,26492,3398,28350,547,0,1,Emergency Fund,60,55,63,80,80,1,2641,0.062,0.517,0.483
24,46003,35786,4587,10145,576,0,3,Investing,60,46,53,50,38,1,3203,0.1,0.221,0.778
29,37103,21127,1296,9121,545,3,1,Short Term Savings,36,15,7,70,62,0,1316,0.035,0.246,0.569
47,50823,20233,7528,17426,657,3,3,Debt Repayment,60,71,3,58,94,1,500,0.148,0.343,0.398
38,57821,20625,9285,7032,724,2,1,Short Term Savings,60,80,53,0,59,1,667,0.161,0.122,0.357
48,36919,21551,8087,8716,741,1,1,Debt Repayment,6,59,23,49,79,1,500,0.219,0.236,0.584
41,24253,14041,5054,9984,595,3,2,Emergency Fund,6,61,56,56,38,1,9672,0.208,0.412,0.579
37,13577,9396,1162,3354,658,4,1,Short Term Savings,36,32,3,60,39,0,1319,0.086,0.247,0.692
54,45012,26225,2318,24485,590,2,1,Investing,12,49,42,27,60,0,15206,0.051,0.544,0.583
21,83344,32177,4658,30768,651,3,1,Debt Repayment,36,70,26,17,61,0,500,0.056,0.369,0.386
45,17786,10754,4319,1640,599,1,1,Short Term Savings,36,39,57,55,66,1,1234,0.243,0.092,0.605
37,61989,52323,10838,18129,605,0,1,Short Term Savings,60,57,15,52,75,1,642,0.175,0.292,0.844
41,26488,10480,789,12154,544,2,1,Investing,6,100,58,39,77,1,28458,0.03,0.459,0.396
49,30519,21786,1570,11780,409,2,1,Short Term Savings,60,64,71,36,90,1,793,0.051,0.386,0.714
53,58298,38261,7679,30965,619,1,1,Investing,12,37,56,80,95,1,14793,0.132,0.531,0.656
51,34894,26140,2365,15701,677,0,1,Short Term Savings,60,100,52,31,44,1,780,0.068,0.45,0.749
53,44965,17552,9210,1662,666,2,1,Debt Repayment,12,67,68,35,54,1,500,0.205,0.037,0.39
19,44581,38560,6769,3009,530,2,1,Emergency Fund,6,43,65,0,57,0,18139,0.152,0.067,0.865
32,26521,17837,4267,10339,469,3,1,Short Term Savings,36,57,0,70,75,1,1236,0.161,0.39,0.673
51,57901,46798,7321,8282,643,2,1,Emergency Fund,60,25,71,53,51,1,2727,0.126,0.143,0.808
53,38768,17366,3058,13673,557,2,1,Short Term Savings,12,43,83,89,29,2,3610,0.079,0.353,0.448
23,12229,9094,1902,5812,613,1,1,Investing,6,77,59,27,60,1,28299,0.156,0.475,0.744
29,22150,17024,4095,7667,556,1,2,Debt Repayment,60,35,10,11,100,0,500,0.185,0.346,0.769
20,5000,2692,526,1246,525,5,3,Investing,12,31,14,29,18,0,15344,0.105,0.249,0.538
35,41039,21765,5586,15913,743,5,1,Debt Repayment,36,78,0,72,50,1,500,0.136,0.388,0.53
38,66081,45905,14083,5694,686,1,2,Debt Repayment,12,100,71,77,64,2,500,0.213,0.086,0.695
32,19057,6785,1032,8269,648,1,1,Short Term Savings,6,71,77,52,27,1,6995,0.054,0.434,0.356
50,51710,38336,7518,21625,721,3,1,Emergency Fund,36,95,56,51,82,1,3989,0.145,0.418,0.741
52,48611,15834,4867,15003,651,5,1,Investing,12,37,64,89,28,1,15010,0.1,0.309,0.326
43,24962,10343,4534,4175,619,3,3,Emergency Fund,6,69,37,64,60,1,10050,0.182,0.167,0.414
25,70730,49403,1720,33847,782,2,1,Investing,60,82,58,49,34,1,3250,0.024,0.479,0.698
53,34546,12401,6018,10582,787,6,1,Investing,6,49,44,32,63,1,27711,0.174,0.306,0.359
47,80205,70829,3502,2847,569,1,1,Debt Repayment,6,40,51,66,45,1,500,0.044,0.035,0.883
40,7286,5982,254,4015,671,1,1,Investing,60,57,50,19,36,1,3274,0.035,0.551,0.821
31,34617,23393,6461,15945,661,2,2,Investing,12,67,61,19,76,1,14887,0.187,0.461,0.676
31,36994,29278,6188,12980,719,0,1,Short Term Savings,6,55,22,45,74,1,6258,0.167,0.351,0.791
19,39187,32625,8849,10270,565,3,1,Emergency Fund,12,64,14,88,40,1,8362,0.226,0.262,0.833
54,54326,24755,7579,31288,752,0,3,Debt Repayment,12,34,80,18,95,1,620,0.14,0.576,0.456
22,107962,87411,15320,50203,576,2,1,Debt Repayment,60,65,71,77,53,2,500,0.142,0.465,0.81
55,49101,20469,8966,15761,639,5,2,Investing,12,75,60,66,76,1,14694,0.183,0.321,0.417
31,40484,22185,3820,15865,559,2,3,Debt Repayment,60,65,46,21,32,1,500,0.094,0.392,0.548
42,18076,11477,514,3044,607,1,2,Emergency Fund,36,44,19,57,35,1,1451,0.028,0.168,0.635
37,5000,3641,364,587,567,6,1,Investing,60,27,56,31,32,0,3272,0.073,0.117,0.728
19,63405,20168,4739,10397,573,3,1,Debt Repayment,36,61,22,32,60,0,500,0.075,0.164,0.318
23,29064,13785,2825,5111,711,4,1,Short Term Savings,36,48,70,79,34,1,1275,0.097,0.176,0.474
34,92083,61245,21823,40870,646,0,2,Short Term Savings,12,92,13,46,50,1,2167,0.237,0.444,0.665
42,57364,29509,11766,4820,809,3,1,Investing,12,88,45,45,18,1,14479,0.205,0.084,0.514
